Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,34,3,0.675344517827034,67.5,0.45454545454545453,0.45454545454545453
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,35,3,0.6086553454399108,60.9,0.9090909090909091,0.9090909090909091
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,36,3,0.6666946411132812,66.7,1.1818181818181819,1.1818181818181819
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,37,4,0.4879354596138,48.8,1.4545454545454546,1.4545454545454546
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,38,4,0.42607698440551756,42.6,2.727272727272727,2.727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,39,4,0.3,30.0,1.1818181818181819,1.1818181818181819
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,40,4,0.5735937118530273,57.4,1.5454545454545454,1.5454545454545454
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,41,3,0.3671034216880798,36.7,1.9090909090909092,1.9090909090909092
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,42,2,0.634292072057724,63.4,1.3636363636363635,1.3636363636363635
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,43,2,0.5730087518692016,57.3,0.5454545454545454,0.5454545454545454
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,44,2,0.6233498573303222,62.3,0.45454545454545453,0.45454545454545453
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,45,2,0.620621782541275,62.1,1.0909090909090908,1.0909090909090908
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,46,2,0.6868638277053833,68.7,0.5454545454545454,0.5454545454545454
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,47,2,0.7312602669000625,73.1,1.0,1.0
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,48,2,0.7177678436040877,71.8,0.5454545454545454,0.5454545454545454
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,49,2,0.7170744657516479,71.7,0.2727272727272727,0.2727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,50,2,0.6929240047931671,69.3,0.6363636363636364,0.6363636363636364
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,51,2,0.6918494641780852,69.2,0.18181818181818182,0.18181818181818182
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,52,3,0.7609480082988739,76.1,0.8181818181818182,0.8181818181818182
CHINYANI FTC,CHINYANI FTC,2025,1,6,0.7870458160492187,78.7,18.9,18.9
CHINYANI FTC,CHINYANI FTC,2025,2,10,0.7387714958592295,73.9,19.1,19.1
CHINYANI FTC,CHINYANI FTC,2025,3,2,0.5396892318462991,54.0,16.0,16.0
CHINYANI FTC,CHINYANI FTC,2025,4,2,0.8208239017110881,82.1,14.0,14.0
CHINYANI FTC,CHINYANI FTC,2025,5,7,0.43903900782267247,43.9,17.272727272727273,17.272727272727273
CHINYANI FTC,CHINYANI FTC,2025,6,7,0.7024122324856845,70.2,18.181818181818183,18.181818181818183
CHINYANI FTC,CHINYANI FTC,2025,7,7,0.6211758422851562,62.1,13.727272727272727,13.727272727272727
CHINYANI FTC,CHINYANI FTC,2025,8,7,0.7916961002349854,79.2,11.818181818181818,11.818181818181818
CHINYANI FTC,CHINYANI FTC,2025,9,7,0.7643928196119225,76.4,15.454545454545455,15.454545454545455
CHINYANI FTC,CHINYANI FTC,2025,10,8,0.5542037487030029,55.4,11.363636363636363,11.363636363636363
CHINYANI FTC,CHINYANI FTC,2025,11,9,0.726247511411968,72.6,15.363636363636363,15.363636363636363
CHINYANI FTC,CHINYANI FTC,2025,12,9,0.6724960645039875,67.2,24.636363636363637,24.636363636363637
CHINYANI FTC,CHINYANI FTC,2025,13,10,0.8332432349522909,83.3,22.90909090909091,22.90909090909091
